template,sentence
complex,"Although it was late, a death didn’t occupy any version."
simple,A division didn’t thank any thing.
rel_clause,The division that Sarah saw didn’t thank any thing.
adv_clause,"After the incident, a division didn’t thank any thing."
complex,"Although it was late, a division didn’t thank any thing."
simple,A state didn’t prevent any girl.
rel_clause,The state that Mary saw didn’t prevent any girl.
adv_clause,"After the incident, a state didn’t prevent any girl."
complex,"Although it was late, a state didn’t prevent any girl."
simple,A power didn’t build any championship.
rel_clause,The power that David saw didn’t build any championship.
adv_clause,"After the incident, a power didn’t build any championship."
complex,"Although it was late, a power didn’t build any championship."
simple,A state didn’t establish any year.
rel_clause,The state that Sarah saw didn’t establish any year.
adv_clause,"After the incident, a state didn’t establish any year."
complex,"Although it was late, a state didn’t establish any year."
simple,A position didn’t strike any man.
rel_clause,The position that Mary saw didn’t strike any man.
adv_clause,"After the incident, a position didn’t strike any man."
complex,"Although it was late, a position didn’t strike any man."
simple,A period didn’t control any use.
rel_clause,The period that David saw didn’t control any use.
adv_clause,"After the incident, a period didn’t control any use."
complex,"Although it was late, a period didn’t control any use."
simple,A land didn’t shape any air.
rel_clause,The land that Alex saw didn’t shape any air.
adv_clause,"After the incident, a land didn’t shape any air."
complex,"Although it was late, a land didn’t shape any air."
simple,A team didn’t adopt any century.
rel_clause,The team that David saw didn’t adopt any century.
adv_clause,"After the incident, a team didn’t adopt any century."
complex,"Although it was late, a team didn’t adopt any century."
simple,A district didn’t answer any career.
rel_clause,The district that Sarah saw didn’t answer any career.
adv_clause,"After the incident, a district didn’t answer any career."
complex,"Although it was late, a district didn’t answer any career."
simple,A form didn’t change any world.
rel_clause,The form that John saw didn’t change any world.
adv_clause,"After the incident, a form didn’t change any world."
complex,"Although it was late, a form didn’t change any world."
simple,A church didn’t grab any area.
rel_clause,The church that Mary saw didn’t grab any area.
adv_clause,"After the incident, a church didn’t grab any area."
complex,"Although it was late, a church didn’t grab any area."
simple,A family didn’t thank any day.
rel_clause,The family that John saw didn’t thank any day.
adv_clause,"After the incident, a family didn’t thank any day."
complex,"Although it was late, a family didn’t thank any day."
simple,A century didn’t contain any district.
rel_clause,The century that Sarah saw didn’t contain any district.
adv_clause,"After the incident, a century didn’t contain any district."
complex,"Although it was late, a century didn’t contain any district."
simple,A room didn’t destroy any school.
rel_clause,The room that Alex saw didn’t destroy any school.
adv_clause,"After the incident, a room didn’t destroy any school."
complex,"Although it was late, a room didn’t destroy any school."
simple,A world didn’t develop any man.
rel_clause,The world that Mary saw didn’t develop any man.
adv_clause,"After the incident, a world didn’t develop any man."
complex,"Although it was late, a world didn’t develop any man."
simple,A life didn’t host any age.
rel_clause,The life that David saw didn’t host any age.
adv_clause,"After the incident, a life didn’t host any age."
complex,"Although it was late, a life didn’t host any age."
simple,A story didn’t pick any heart.
rel_clause,The story that David saw didn’t pick any heart.
adv_clause,"After the incident, a story didn’t pick any heart."
complex,"Although it was late, a story didn’t pick any heart."
simple,A form didn’t cover any number.
rel_clause,The form that David saw didn’t cover any number.
adv_clause,"After the incident, a form didn’t cover any number."
complex,"Although it was late, a form didn’t cover any number."
simple,A church didn’t complete any town.
rel_clause,The church that Mary saw didn’t complete any town.
adv_clause,"After the incident, a church didn’t complete any town."
complex,"Although it was late, a church didn’t complete any town."
simple,A hair didn’t feature any class.
rel_clause,The hair that Alex saw didn’t feature any class.
adv_clause,"After the incident, a hair didn’t feature any class."
complex,"Although it was late, a hair didn’t feature any class."
simple,A door didn’t prevent any election.
rel_clause,The door that Alex saw didn’t prevent any election.
adv_clause,"After the incident, a door didn’t prevent any election."
complex,"Although it was late, a door didn’t prevent any election."
simple,A mind didn’t score any book.
rel_clause,The mind that John saw didn’t score any book.
adv_clause,"After the incident, a mind didn’t score any book."
complex,"Although it was late, a mind didn’t score any book."
simple,A word didn’t send any place.
rel_clause,The word that David saw didn’t send any place.
adv_clause,"After the incident, a word didn’t send any place."
complex,"Although it was late, a word didn’t send any place."
simple,A record didn’t cut any use.
rel_clause,The record that Mary saw didn’t cut any use.
adv_clause,"After the incident, a record didn’t cut any use."
complex,"Although it was late, a record didn’t cut any use."
simple,A fire didn’t include any period.
rel_clause,The fire that Sarah saw didn’t include any period.
adv_clause,"After the incident, a fire didn’t include any period."
complex,"Although it was late, a fire didn’t include any period."
simple,A head didn’t set any grind.
rel_clause,The head that Sarah saw didn’t set any grind.
adv_clause,"After the incident, a head didn’t set any grind."
complex,"Although it was late, a head didn’t set any grind."
simple,A war didn’t kill any country.
rel_clause,The war that John saw didn’t kill any country.
adv_clause,"After the incident, a war didn’t kill any country."
complex,"Although it was late, a war didn’t kill any country."
simple,A championship didn’t attend any year.
rel_clause,The championship that Alex saw didn’t attend any year.
adv_clause,"After the incident, a championship didn’t attend any year."
complex,"Although it was late, a championship didn’t attend any year."
simple,A number didn’t provide any room.
rel_clause,The number that Alex saw didn’t provide any room.
adv_clause,"After the incident, a number didn’t provide any room."
complex,"Although it was late, a number didn’t provide any room."
simple,A force didn’t strike any class.
rel_clause,The force that Mary saw didn’t strike any class.
adv_clause,"After the incident, a force didn’t strike any class."
complex,"Although it was late, a force didn’t strike any class."
simple,A period didn’t pick any year.
rel_clause,The period that David saw didn’t pick any year.
adv_clause,"After the incident, a period didn’t pick any year."
complex,"Although it was late, a period didn’t pick any year."
simple,A book didn’t raise any mother.
rel_clause,The book that Mary saw didn’t raise any mother.
adv_clause,"After the incident, a book didn’t raise any mother."
complex,"Although it was late, a book didn’t raise any mother."
simple,A area didn’t abandon any school.
rel_clause,The area that David saw didn’t abandon any school.
adv_clause,"After the incident, a area didn’t abandon any school."
complex,"Although it was late, a area didn’t abandon any school."
simple,A heart didn’t introduce any land.
rel_clause,The heart that David saw didn’t introduce any land.
adv_clause,"After the incident, a heart didn’t introduce any land."
complex,"Although it was late, a heart didn’t introduce any land."
simple,A service didn’t throw any door.
rel_clause,The service that John saw didn’t throw any door.
adv_clause,"After the incident, a service didn’t throw any door."
complex,"Although it was late, a service didn’t throw any door."
simple,A fire didn’t take any hand.
rel_clause,The fire that David saw didn’t take any hand.
adv_clause,"After the incident, a fire didn’t take any hand."
complex,"Although it was late, a fire didn’t take any hand."
simple,A election didn’t keep any wife.
rel_clause,The election that David saw didn’t keep any wife.
adv_clause,"After the incident, a election didn’t keep any wife."
complex,"Although it was late, a election didn’t keep any wife."
simple,A air didn’t change any point.
rel_clause,The air that Sarah saw didn’t change any point.
adv_clause,"After the incident, a air didn’t change any point."
complex,"Although it was late, a air didn’t change any point."
simple,A eye didn’t avoid any fire.
rel_clause,The eye that Mary saw didn’t avoid any fire.
adv_clause,"After the incident, a eye didn’t avoid any fire."
complex,"Although it was late, a eye didn’t avoid any fire."
simple,A head didn’t offer any career.
rel_clause,The head that David saw didn’t offer any career.
adv_clause,"After the incident, a head didn’t offer any career."
complex,"Although it was late, a head didn’t offer any career."
simple,A world didn’t contain any member.
rel_clause,The world that Sarah saw didn’t contain any member.
adv_clause,"After the incident, a world didn’t contain any member."
complex,"Although it was late, a world didn’t contain any member."
simple,A mother didn’t open any team.
rel_clause,The mother that John saw didn’t open any team.
adv_clause,"After the incident, a mother didn’t open any team."
complex,"Although it was late, a mother didn’t open any team."
simple,A team didn’t create any student.
rel_clause,The team that Mary saw didn’t create any student.
adv_clause,"After the incident, a team didn’t create any student."
complex,"Although it was late, a team didn’t create any student."
simple,A number didn’t destroy any championship.
rel_clause,The number that David saw didn’t destroy any championship.
adv_clause,"After the incident, a number didn’t destroy any championship."
complex,"Although it was late, a number didn’t destroy any championship."
simple,A title didn’t own any summer.
rel_clause,The title that Alex saw didn’t own any summer.
adv_clause,"After the incident, a title didn’t own any summer."
complex,"Although it was late, a title didn’t own any summer."
simple,A brother didn’t send any hair.
rel_clause,The brother that John saw didn’t send any hair.
adv_clause,"After the incident, a brother didn’t send any hair."
complex,"Although it was late, a brother didn’t send any hair."
simple,A student didn’t feature any woman.
rel_clause,The student that Mary saw didn’t feature any woman.
adv_clause,"After the incident, a student didn’t feature any woman."
complex,"Although it was late, a student didn’t feature any woman."
simple,A development didn’t purchase any election.
rel_clause,The development that John saw didn’t purchase any election.
adv_clause,"After the incident, a development didn’t purchase any election."
complex,"Although it was late, a development didn’t purchase any election."
simple,A development didn’t shape any version.
rel_clause,The development that John saw didn’t shape any version.
adv_clause,"After the incident, a development didn’t shape any version."
complex,"Although it was late, a development didn’t shape any version."
simple,A face didn’t establish any service.
rel_clause,The face that John saw didn’t establish any service.
adv_clause,"After the incident, a face didn’t establish any service."
complex,"Although it was late, a face didn’t establish any service."
simple,A world didn’t place any eye.
rel_clause,The world that David saw didn’t place any eye.
adv_clause,"After the incident, a world didn’t place any eye."
complex,"Although it was late, a world didn’t place any eye."
simple,A city didn’t avoid any position.
rel_clause,The city that Alex saw didn’t avoid any position.
adv_clause,"After the incident, a city didn’t avoid any position."
complex,"Although it was late, a city didn’t avoid any position."
simple,A championship didn’t present any air.
rel_clause,The championship that Mary saw didn’t present any air.
adv_clause,"After the incident, a championship didn’t present any air."
complex,"Although it was late, a championship didn’t present any air."
simple,A government didn’t drive any woman.
rel_clause,The government that David saw didn’t drive any woman.
adv_clause,"After the incident, a government didn’t drive any woman."
complex,"Although it was late, a government didn’t drive any woman."
simple,A game didn’t replace any number.
rel_clause,The game that Alex saw didn’t replace any number.
adv_clause,"After the incident, a game didn’t replace any number."
complex,"Although it was late, a game didn’t replace any number."
simple,A place didn’t mark any country.
rel_clause,The place that Sarah saw didn’t mark any country.
adv_clause,"After the incident, a place didn’t mark any country."
complex,"Although it was late, a place didn’t mark any country."
simple,A hair didn’t develop any championship.
rel_clause,The hair that John saw didn’t develop any championship.
adv_clause,"After the incident, a hair didn’t develop any championship."
complex,"Although it was late, a hair didn’t develop any championship."
simple,A game didn’t remove any court.
rel_clause,The game that Sarah saw didn’t remove any court.
adv_clause,"After the incident, a game didn’t remove any court."
complex,"Although it was late, a game didn’t remove any court."
simple,A community didn’t join any line.
rel_clause,The community that John saw didn’t join any line.
adv_clause,"After the incident, a community didn’t join any line."
complex,"Although it was late, a community didn’t join any line."
simple,A brother didn’t face any system.
rel_clause,The brother that David saw didn’t face any system.
adv_clause,"After the incident, a brother didn’t face any system."
complex,"Although it was late, a brother didn’t face any system."
simple,A system didn’t acquire any heart.
rel_clause,The system that John saw didn’t acquire any heart.
adv_clause,"After the incident, a system didn’t acquire any heart."
complex,"Although it was late, a system didn’t acquire any heart."
simple,A office didn’t give any set.
rel_clause,The office that Sarah saw didn’t give any set.
adv_clause,"After the incident, a office didn’t give any set."
complex,"Although it was late, a office didn’t give any set."
simple,A student didn’t answer any member.
rel_clause,The student that John saw didn’t answer any member.
adv_clause,"After the incident, a student didn’t answer any member."
complex,"Although it was late, a student didn’t answer any member."
simple,A point didn’t acquire any fire.
rel_clause,The point that John saw didn’t acquire any fire.
adv_clause,"After the incident, a point didn’t acquire any fire."
complex,"Although it was late, a point didn’t acquire any fire."
simple,A student didn’t raise any eye.
rel_clause,The student that Mary saw didn’t raise any eye.
adv_clause,"After the incident, a student didn’t raise any eye."
complex,"Although it was late, a student didn’t raise any eye."
simple,A record didn’t visit any war.
rel_clause,The record that Sarah saw didn’t visit any war.
adv_clause,"After the incident, a record didn’t visit any war."
complex,"Although it was late, a record didn’t visit any war."
simple,A football didn’t throw any day.
rel_clause,The football that Sarah saw didn’t throw any day.
adv_clause,"After the incident, a football didn’t throw any day."
complex,"Although it was late, a football didn’t throw any day."
simple,A home didn’t ask any mind.
rel_clause,The home that Mary saw didn’t ask any mind.
adv_clause,"After the incident, a home didn’t ask any mind."
complex,"Although it was late, a home didn’t ask any mind."
simple,A class didn’t drive any family.
rel_clause,The class that Mary saw didn’t drive any family.
adv_clause,"After the incident, a class didn’t drive any family."
complex,"Although it was late, a class didn’t drive any family."
simple,A government didn’t protect any side.
rel_clause,The government that Sarah saw didn’t protect any side.
adv_clause,"After the incident, a government didn’t protect any side."
complex,"Although it was late, a government didn’t protect any side."
simple,A heart didn’t pay any family.
rel_clause,The heart that Sarah saw didn’t pay any family.
adv_clause,"After the incident, a heart didn’t pay any family."
complex,"Although it was late, a heart didn’t pay any family."
simple,A side didn’t shape any force.
rel_clause,The side that Alex saw didn’t shape any force.
adv_clause,"After the incident, a side didn’t shape any force."
complex,"Although it was late, a side didn’t shape any force."
simple,A century didn’t visit any union.
rel_clause,The century that Sarah saw didn’t visit any union.
adv_clause,"After the incident, a century didn’t visit any union."
complex,"Although it was late, a century didn’t visit any union."
simple,A story didn’t air any team.
rel_clause,The story that Sarah saw didn’t air any team.
adv_clause,"After the incident, a story didn’t air any team."
complex,"Although it was late, a story didn’t air any team."
simple,A story didn’t award any face.
rel_clause,The story that Sarah saw didn’t award any face.
adv_clause,"After the incident, a story didn’t award any face."
complex,"Although it was late, a story didn’t award any face."
simple,A band didn’t answer any country.
rel_clause,The band that Sarah saw didn’t answer any country.
adv_clause,"After the incident, a band didn’t answer any country."
complex,"Although it was late, a band didn’t answer any country."
simple,A home didn’t support any band.
rel_clause,The home that Alex saw didn’t support any band.
adv_clause,"After the incident, a home didn’t support any band."
complex,"Although it was late, a home didn’t support any band."
simple,A head didn’t strike any school.
rel_clause,The head that Sarah saw didn’t strike any school.
adv_clause,"After the incident, a head didn’t strike any school."
complex,"Although it was late, a head didn’t strike any school."
simple,A use didn’t control any town.
rel_clause,The use that Alex saw didn’t control any town.
adv_clause,"After the incident, a use didn’t control any town."
complex,"Although it was late, a use didn’t control any town."
simple,A band didn’t contain any home.
rel_clause,The band that Mary saw didn’t contain any home.
adv_clause,"After the incident, a band didn’t contain any home."
complex,"Although it was late, a band didn’t contain any home."
simple,A law didn’t strike any region.
rel_clause,The law that David saw didn’t strike any region.
adv_clause,"After the incident, a law didn’t strike any region."
complex,"Although it was late, a law didn’t strike any region."
simple,A service didn’t thank any man.
rel_clause,The service that John saw didn’t thank any man.
adv_clause,"After the incident, a service didn’t thank any man."
complex,"Although it was late, a service didn’t thank any man."
simple,A woman didn’t own any thing.
rel_clause,The woman that Mary saw didn’t own any thing.
adv_clause,"After the incident, a woman didn’t own any thing."
complex,"Although it was late, a woman didn’t own any thing."
simple,A mind didn’t defeat any member.
rel_clause,The mind that Mary saw didn’t defeat any member.
adv_clause,"After the incident, a mind didn’t defeat any member."
complex,"Although it was late, a mind didn’t defeat any member."
simple,A project didn’t throw any arm.
rel_clause,The project that Mary saw didn’t throw any arm.
adv_clause,"After the incident, a project didn’t throw any arm."
complex,"Although it was late, a project didn’t throw any arm."
simple,A city didn’t earn any society.
rel_clause,The city that Sarah saw didn’t earn any society.
adv_clause,"After the incident, a city didn’t earn any society."
complex,"Although it was late, a city didn’t earn any society."
simple,A office didn’t complete any arm.
rel_clause,The office that Sarah saw didn’t complete any arm.
adv_clause,"After the incident, a office didn’t complete any arm."
complex,"Although it was late, a office didn’t complete any arm."
simple,A thing didn’t raise any hand.
rel_clause,The thing that David saw didn’t raise any hand.
adv_clause,"After the incident, a thing didn’t raise any hand."
complex,"Although it was late, a thing didn’t raise any hand."
simple,A board didn’t change any girl.
rel_clause,The board that Sarah saw didn’t change any girl.
adv_clause,"After the incident, a board didn’t change any girl."
complex,"Although it was late, a board didn’t change any girl."
simple,A face didn’t cover any woman.
rel_clause,The face that Sarah saw didn’t cover any woman.
adv_clause,"After the incident, a face didn’t cover any woman."
complex,"Although it was late, a face didn’t cover any woman."
simple,A community didn’t form any girl.
rel_clause,The community that Mary saw didn’t form any girl.
adv_clause,"After the incident, a community didn’t form any girl."
complex,"Although it was late, a community didn’t form any girl."
simple,A line didn’t pay any union.
rel_clause,The line that Alex saw didn’t pay any union.
adv_clause,"After the incident, a line didn’t pay any union."
complex,"Although it was late, a line didn’t pay any union."
simple,A church didn’t score any system.
rel_clause,The church that Sarah saw didn’t score any system.
adv_clause,"After the incident, a church didn’t score any system."
complex,"Although it was late, a church didn’t score any system."
simple,A game didn’t join any home.
rel_clause,The game that Sarah saw didn’t join any home.
adv_clause,"After the incident, a game didn’t join any home."
complex,"Although it was late, a game didn’t join any home."
simple,A war didn’t kill any district.
rel_clause,The war that Mary saw didn’t kill any district.
adv_clause,"After the incident, a war didn’t kill any district."
complex,"Although it was late, a war didn’t kill any district."
simple,A light didn’t acquire any government.
rel_clause,The light that John saw didn’t acquire any government.
adv_clause,"After the incident, a light didn’t acquire any government."
complex,"Although it was late, a light didn’t acquire any government."
simple,A point didn’t take any day.
rel_clause,The point that John saw didn’t take any day.
adv_clause,"After the incident, a point didn’t take any day."
complex,"Although it was late, a point didn’t take any day."
simple,A heart didn’t conduct any use.
rel_clause,The heart that Sarah saw didn’t conduct any use.
adv_clause,"After the incident, a heart didn’t conduct any use."
complex,"Although it was late, a heart didn’t conduct any use."
simple,A site didn’t invite any service.
rel_clause,The site that Alex saw didn’t invite any service.
adv_clause,"After the incident, a site didn’t invite any service."
complex,"Although it was late, a site didn’t invite any service."
simple,A team didn’t include any area.
rel_clause,The team that John saw didn’t include any area.
adv_clause,"After the incident, a team didn’t include any area."
complex,"Although it was late, a team didn’t include any area."
simple,A day didn’t feature any system.
rel_clause,The day that David saw didn’t feature any system.
adv_clause,"After the incident, a day didn’t feature any system."
complex,"Although it was late, a day didn’t feature any system."
simple,A district didn’t join any form.
rel_clause,The district that David saw didn’t join any form.
adv_clause,"After the incident, a district didn’t join any form."
complex,"Although it was late, a district didn’t join any form."
simple,A director didn’t carry any band.
rel_clause,The director that Alex saw didn’t carry any band.
adv_clause,"After the incident, a director didn’t carry any band."
complex,"Although it was late, a director didn’t carry any band."
simple,A union didn’t handle any level.
rel_clause,The union that Sarah saw didn’t handle any level.
adv_clause,"After the incident, a union didn’t handle any level."
complex,"Although it was late, a union didn’t handle any level."
simple,A wife didn’t introduce any head.
rel_clause,The wife that David saw didn’t introduce any head.
adv_clause,"After the incident, a wife didn’t introduce any head."
complex,"Although it was late, a wife didn’t introduce any head."
simple,A team didn’t control any service.
rel_clause,The team that Mary saw didn’t control any service.
adv_clause,"After the incident, a team didn’t control any service."
complex,"Although it was late, a team didn’t control any service."
simple,A line didn’t drive any law.
rel_clause,The line that David saw didn’t drive any law.
adv_clause,"After the incident, a line didn’t drive any law."
complex,"Although it was late, a line didn’t drive any law."
simple,A court didn’t visit any home.
rel_clause,The court that Sarah saw didn’t visit any home.
adv_clause,"After the incident, a court didn’t visit any home."
complex,"Although it was late, a court didn’t visit any home."
simple,A death didn’t reach any band.
rel_clause,The death that Sarah saw didn’t reach any band.
adv_clause,"After the incident, a death didn’t reach any band."
complex,"Although it was late, a death didn’t reach any band."
simple,A level didn’t face any director.
rel_clause,The level that Sarah saw didn’t face any director.
adv_clause,"After the incident, a level didn’t face any director."
complex,"Although it was late, a level didn’t face any director."
simple,A form didn’t give any mother.
rel_clause,The form that Alex saw didn’t give any mother.
adv_clause,"After the incident, a form didn’t give any mother."
complex,"Although it was late, a form didn’t give any mother."
simple,A field didn’t attack any level.
rel_clause,The field that Alex saw didn’t attack any level.
adv_clause,"After the incident, a field didn’t attack any level."
complex,"Although it was late, a field didn’t attack any level."
simple,A place didn’t finish any book.
rel_clause,The place that John saw didn’t finish any book.
adv_clause,"After the incident, a place didn’t finish any book."
complex,"Although it was late, a place didn’t finish any book."
simple,A state didn’t change any story.
rel_clause,The state that David saw didn’t change any story.
adv_clause,"After the incident, a state didn’t change any story."
complex,"Although it was late, a state didn’t change any story."
simple,A level didn’t mark any program.
rel_clause,The level that Mary saw didn’t mark any program.
adv_clause,"After the incident, a level didn’t mark any program."
complex,"Although it was late, a level didn’t mark any program."
simple,A world didn’t shape any family.
rel_clause,The world that Mary saw didn’t shape any family.
adv_clause,"After the incident, a world didn’t shape any family."
complex,"Although it was late, a world didn’t shape any family."
simple,A woman didn’t introduce any record.
rel_clause,The woman that John saw didn’t introduce any record.
adv_clause,"After the incident, a woman didn’t introduce any record."
complex,"Although it was late, a woman didn’t introduce any record."
simple,A music didn’t represent any fire.
rel_clause,The music that Mary saw didn’t represent any fire.
adv_clause,"After the incident, a music didn’t represent any fire."
complex,"Although it was late, a music didn’t represent any fire."
simple,A book didn’t lift any field.
rel_clause,The book that Mary saw didn’t lift any field.
adv_clause,"After the incident, a book didn’t lift any field."
complex,"Although it was late, a book didn’t lift any field."
simple,A rock didn’t cut any development.
rel_clause,The rock that Alex saw didn’t cut any development.
adv_clause,"After the incident, a rock didn’t cut any development."
complex,"Although it was late, a rock didn’t cut any development."
simple,A town didn’t adopt any death.
rel_clause,The town that John saw didn’t adopt any death.
adv_clause,"After the incident, a town didn’t adopt any death."
complex,"Although it was late, a town didn’t adopt any death."
simple,A union didn’t represent any number.
rel_clause,The union that John saw didn’t represent any number.
adv_clause,"After the incident, a union didn’t represent any number."
complex,"Although it was late, a union didn’t represent any number."
simple,A government didn’t wear any law.
rel_clause,The government that Alex saw didn’t wear any law.
adv_clause,"After the incident, a government didn’t wear any law."
complex,"Although it was late, a government didn’t wear any law."
simple,A area didn’t handle any room.
rel_clause,The area that Sarah saw didn’t handle any room.
adv_clause,"After the incident, a area didn’t handle any room."
complex,"Although it was late, a area didn’t handle any room."
simple,A law didn’t tell any member.
rel_clause,The law that Mary saw didn’t tell any member.
adv_clause,"After the incident, a law didn’t tell any member."
complex,"Although it was late, a law didn’t tell any member."
simple,A director didn’t form any court.
rel_clause,The director that John saw didn’t form any court.
adv_clause,"After the incident, a director didn’t form any court."
complex,"Although it was late, a director didn’t form any court."
simple,A home didn’t score any grind.
rel_clause,The home that Alex saw didn’t score any grind.
adv_clause,"After the incident, a home didn’t score any grind."
complex,"Although it was late, a home didn’t score any grind."
simple,A light didn’t host any society.
rel_clause,The light that John saw didn’t host any society.
adv_clause,"After the incident, a light didn’t host any society."
complex,"Although it was late, a light didn’t host any society."
simple,A project didn’t join any life.
rel_clause,The project that Alex saw didn’t join any life.
adv_clause,"After the incident, a project didn’t join any life."
complex,"Although it was late, a project didn’t join any life."
simple,A brother didn’t abandon any championship.
rel_clause,The brother that Alex saw didn’t abandon any championship.
adv_clause,"After the incident, a brother didn’t abandon any championship."
complex,"Although it was late, a brother didn’t abandon any championship."
simple,A family didn’t establish any production.
rel_clause,The family that Mary saw didn’t establish any production.
adv_clause,"After the incident, a family didn’t establish any production."
complex,"Although it was late, a family didn’t establish any production."
simple,A road didn’t introduce any student.
rel_clause,The road that Mary saw didn’t introduce any student.
adv_clause,"After the incident, a road didn’t introduce any student."
complex,"Although it was late, a road didn’t introduce any student."
simple,A story didn’t mark any world.
rel_clause,The story that John saw didn’t mark any world.
adv_clause,"After the incident, a story didn’t mark any world."
complex,"Although it was late, a story didn’t mark any world."
simple,A church didn’t destroy any career.
rel_clause,The church that Sarah saw didn’t destroy any career.
adv_clause,"After the incident, a church didn’t destroy any career."
complex,"Although it was late, a church didn’t destroy any career."
simple,A production didn’t host any head.
rel_clause,The production that John saw didn’t host any head.
adv_clause,"After the incident, a production didn’t host any head."
complex,"Although it was late, a production didn’t host any head."
simple,A record didn’t adopt any team.
rel_clause,The record that John saw didn’t adopt any team.
adv_clause,"After the incident, a record didn’t adopt any team."
complex,"Although it was late, a record didn’t adopt any team."
simple,A election didn’t own any fire.
rel_clause,The election that David saw didn’t own any fire.
adv_clause,"After the incident, a election didn’t own any fire."
complex,"Although it was late, a election didn’t own any fire."
simple,A mother didn’t keep any force.
rel_clause,The mother that Mary saw didn’t keep any force.
adv_clause,"After the incident, a mother didn’t keep any force."
complex,"Although it was late, a mother didn’t keep any force."
simple,A brother didn’t attack any member.
rel_clause,The brother that John saw didn’t attack any member.
adv_clause,"After the incident, a brother didn’t attack any member."
complex,"Although it was late, a brother didn’t attack any member."
simple,A face didn’t present any production.
rel_clause,The face that David saw didn’t present any production.
adv_clause,"After the incident, a face didn’t present any production."
complex,"Although it was late, a face didn’t present any production."
simple,A form didn’t control any game.
rel_clause,The form that Mary saw didn’t control any game.
adv_clause,"After the incident, a form didn’t control any game."
complex,"Although it was late, a form didn’t control any game."
simple,A set didn’t acquire any city.
rel_clause,The set that Mary saw didn’t acquire any city.
adv_clause,"After the incident, a set didn’t acquire any city."
complex,"Although it was late, a set didn’t acquire any city."
simple,A air didn’t defeat any class.
rel_clause,The air that John saw didn’t defeat any class.
adv_clause,"After the incident, a air didn’t defeat any class."
complex,"Although it was late, a air didn’t defeat any class."
simple,A name didn’t lift any election.
rel_clause,The name that Mary saw didn’t lift any election.
adv_clause,"After the incident, a name didn’t lift any election."
complex,"Although it was late, a name didn’t lift any election."
simple,A word didn’t control any death.
rel_clause,The word that Mary saw didn’t control any death.
adv_clause,"After the incident, a word didn’t control any death."
complex,"Although it was late, a word didn’t control any death."
simple,A way didn’t kill any door.
rel_clause,The way that Alex saw didn’t kill any door.
adv_clause,"After the incident, a way didn’t kill any door."
complex,"Although it was late, a way didn’t kill any door."
simple,A station didn’t fix any career.
rel_clause,The station that Mary saw didn’t fix any career.
adv_clause,"After the incident, a station didn’t fix any career."
complex,"Although it was late, a station didn’t fix any career."
simple,A city didn’t draw any light.
rel_clause,The city that Alex saw didn’t draw any light.
adv_clause,"After the incident, a city didn’t draw any light."
complex,"Although it was late, a city didn’t draw any light."
simple,A home didn’t adopt any word.
rel_clause,The home that Mary saw didn’t adopt any word.
adv_clause,"After the incident, a home didn’t adopt any word."
complex,"Although it was late, a home didn’t adopt any word."
simple,A way didn’t support any team.
rel_clause,The way that John saw didn’t support any team.
adv_clause,"After the incident, a way didn’t support any team."
complex,"Although it was late, a way didn’t support any team."
simple,A period didn’t own any story.
rel_clause,The period that Sarah saw didn’t own any story.
adv_clause,"After the incident, a period didn’t own any story."
complex,"Although it was late, a period didn’t own any story."
simple,A level didn’t lose any room.
rel_clause,The level that Mary saw didn’t lose any room.
adv_clause,"After the incident, a level didn’t lose any room."
complex,"Although it was late, a level didn’t lose any room."
simple,A state didn’t place any girl.
rel_clause,The state that David saw didn’t place any girl.
adv_clause,"After the incident, a state didn’t place any girl."
complex,"Although it was late, a state didn’t place any girl."
simple,A version didn’t draw any woman.
rel_clause,The version that Alex saw didn’t draw any woman.
adv_clause,"After the incident, a version didn’t draw any woman."
complex,"Although it was late, a version didn’t draw any woman."
simple,A wife didn’t host any head.
rel_clause,The wife that Sarah saw didn’t host any head.
adv_clause,"After the incident, a wife didn’t host any head."
complex,"Although it was late, a wife didn’t host any head."
simple,A home didn’t finish any eye.
rel_clause,The home that Sarah saw didn’t finish any eye.
adv_clause,"After the incident, a home didn’t finish any eye."
complex,"Although it was late, a home didn’t finish any eye."
simple,A arm didn’t purchase any role.
rel_clause,The arm that David saw didn’t purchase any role.
adv_clause,"After the incident, a arm didn’t purchase any role."
complex,"Although it was late, a arm didn’t purchase any role."
simple,A development didn’t destroy any director.
rel_clause,The development that Mary saw didn’t destroy any director.
adv_clause,"After the incident, a development didn’t destroy any director."
complex,"Although it was late, a development didn’t destroy any director."
simple,A court didn’t gain any system.
rel_clause,The court that Mary saw didn’t gain any system.
adv_clause,"After the incident, a court didn’t gain any system."
complex,"Although it was late, a court didn’t gain any system."
simple,A band didn’t control any mother.
rel_clause,The band that Mary saw didn’t control any mother.
adv_clause,"After the incident, a band didn’t control any mother."
complex,"Although it was late, a band didn’t control any mother."
simple,A death didn’t host any number.
rel_clause,The death that David saw didn’t host any number.
adv_clause,"After the incident, a death didn’t host any number."
complex,"Although it was late, a death didn’t host any number."
simple,A position didn’t visit any game.
rel_clause,The position that Sarah saw didn’t visit any game.
adv_clause,"After the incident, a position didn’t visit any game."
complex,"Although it was late, a position didn’t visit any game."
simple,A fire didn’t include any power.
rel_clause,The fire that David saw didn’t include any power.
adv_clause,"After the incident, a fire didn’t include any power."
complex,"Although it was late, a fire didn’t include any power."
simple,A system didn’t give any mind.
rel_clause,The system that John saw didn’t give any mind.
